Fylke,Hygiene,Personal Use,Fisheries,Industrial,Others
Agder,36,143,544,192,1460
Møre og Romsdal,36,876,1770,678,1933
Nordland,0,6,4865,0,0
Oslo,80,2727,59,835,55
Rogaland,55,554,771,859,2939
Svalbard,0,0,0,0,0
Troms og Finnmark,0,13,7,61,0
Trøndelag,0,0,0,0,0
Vestfold og Telemark,0,25,16,0,0
Vestland,51,452,379,233,327
Viken,17,931,211,357,474
