,Start,Slutt,Starttidspunkt,Sluttidspunkt,Antall minutter (app),Deltakere,Søppelsekker,Handleposer,Kg,Kommune,Fylke,Meter,"Engangsservice (bestikk, kopper, tallerkener)",Sugerør og rørepinner,Ballonger (inkl. ventil og bånd),Klær og tekstiler,Sko,"Leker, smokker osv.",Matemballasje,Take- away emballasje,Godteri- og snacksemballasje,Husholdnings- og rengjøringsprodukter,Husholdnings- og rengjøringsprodukter - norske,Husholdnings- og rengjøringsprodukter - utenlandske,Husholdnings- og rengjøringsprodukter - vet ikke,Plastflasker (drikke),Plastflasker - norske (drikke),Plastflasker - utenlandske (drikke),Plastflasker - vet ikke (drikke),Metallbokser (drikke),Metallbokse - norske (drikke),Metallbokser - utenlandske (drikke),Metallbokser - vet ikke (drikke),Glassflasker,"Lokk, korker og drikkeboksringer",Handleposer (plast),Søppelsekker (plast),Småposer og fruktposer (plast),Papirposer,Engangsgrill,Sigarettsneiper,Snusposer (porsjon),Snusbokser,Sigarettpakker (inkl. tilbehør),Lightere,Agnemballasje og bokser,Fiskegarn (inkl. not og trål),Fiskegarn under 50 cm (inkl. not og trål),Fiskegarn over 50 cm(inkl. not og trål),"Fiskekroker (sluk, dupp osv.)","Kanner (olje, bensin og kjemikalier)",Teiner og ruser,"Bøyer, flottører og garnringer",Fiskekasser og isoporkasser,Fiskesnøre,Tau,Tau under 50 cm,Tau over 50 cm,Rør og rørdeler,Armeringsfiber,Behandlet trevirke,Byggematerialer,Isopor,Isopor under 5 cm,Isopor over 5 cm,"Fat og kar (olje, kjemikalier, oppsamlingskar osv.)",Pakkebånd,Strips,Paller,Presenning og plastduker,Malingsspann o.l.,Biomedier og rensefiltre,Isolasjonsmateriale,Sprengkabler (skyteledning),Rundballplast (landbruksplast),"Plastpellets (små råplastkuler, nurdles)",Bind og tamponger,Bleier,Sprøyter og sprøytespisser,"Emballasje til hygieneartikler (linser, tamponger, kondomer)",Bomullspinner (q-tips),Kondomer,Våtservietter,Munnbind,Engangshansker,Batterier,Dekk,Hvitevarer,Lyspærer,Brøytestikker,Bildeler,Elektriske artikler,Patronhylser,Forladninger,Uidentifiserte plastbiter,Uidentifiserte plastbiter under 50 cm,Uidentifiserte plastbiter over 50 cm,"Plastkasser (bruskasser, ølkasser osv.)",Annet,Fulle søppelbøtter,"Avfallsstasjon, miljøstasjon",Kloakkutslipp. utløp,"Turisme, friluftsliv",Biltrafikk,"Havn, marina, kai, småbåthavn",Landbruk,"Dumpet avfall, villfylling","Fiskeri, havbruk","Bygg, anlegg og industri",Serveringssteder,Annet.1,Kommentar,Long,Lat,Most found element,Others,Personal Use,Fisheries,Industrial,Hygiene
120,2023-02-10,2023-03-15,,,0,3,50,0,500,Øygarden,Vestland,29,0,3,0,0,0,0,0,0,0,2,2,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,13,4,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,14,11,3,0,,False,False,False,False,False,False,False,False,False,False,False,False,,4.94702481645007,60.3377685773359,Tau,70,19,34,9,0
121,2023-01-01,2023-12-31,,,0,4,144,0,1440,Aure,Møre og Romsdal,5945,0,0,0,5,2,0,0,0,6,53,20,18,15,107,38,34,35,0,0,0,0,4,0,2,4,6,0,0,0,0,13,0,2,0,5,3,2,0,23,2,18,15,0,61,29,32,6,0,0,0,83,28,55,8,25,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,2,0,4,2,0,0,8,4,0,0,0,2,"Fryseboks
Offshore bøye
Lokk 1000liters tank
Del av plastbåt
Del av oppdrettsanlegg",False,False,False,False,False,False,False,False,False,False,False,False,,8.06517461960592,63.2271240604464,Plastflasker (drikke),44,364,190,213,1
122,2023-02-21,2023-02-21,1000.0,1500.0,0,3,15,0,150,Osen,Trøndelag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,,10.583462302148,64.3952828166987,"Engangsservice (bestikk, kopper, tallerkener)",0,0,0,0,0
123,2023-03-17,2023-03-17,,,0,1,14,0,140,Haugesund,Rogaland,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,,5.25262473153429,59.4134329600222,"Engangsservice (bestikk, kopper, tallerkener)",0,0,0,0,0
124,2023-02-01,2023-03-15,,,0,3,70,0,700,Øygarden,Vestland,177,2,3,3,0,2,0,2,0,2,7,3,1,3,9,3,4,2,3,0,1,2,0,3,2,2,0,0,0,0,0,2,0,4,0,7,4,3,0,1,0,1,0,0,13,9,4,0,0,0,0,11,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,15,11,4,0,,False,False,False,False,False,False,False,False,False,False,False,False,,4.93684486426274,60.3380449941263,Uidentifiserte plastbiter,68,65,42,23,4
125,2023-02-19,2023-02-19,,,0,14,20,0,200,Oslo,Oslo,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,,10.7575605369484,59.8748180830126,"Engangsservice (bestikk, kopper, tallerkener)",0,0,0,0,0
126,2023-02-19,2023-02-19,1000.0,1300.0,0,4,8,0,80,Askøy,Vestland,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,,5.03371855421342,60.4571516805329,Glassflasker,8,8,6,6,0
127,2023-02-18,2023-02-18,,,0,2,0,4,4,Tjeldsund,Troms og Finnmark,580,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,,16.7864101416972,68.679649651459,Isopor,0,8,2,36,0
128,2023-02-26,2023-02-26,1000.0,1300.0,0,5,6,0,60,Askøy,Vestland,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,,5.0682577636876,60.4616806293214,Plastflasker (drikke),4,12,4,0,0
129,2023-03-07,2023-03-07,,,0,1,4,0,40,Karmøy,Rogaland,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,,5.37144753319918,59.2782401248525,"Engangsservice (bestikk, kopper, tallerkener)",0,0,0,0,0
